name,area,organization,category,latitude,longitude,altitude,direction
朝霧高原PGS TO,朝霧,朝霧高原PGS,Takeoff,35.4131067,138.5700626,1180,S
朝霧高原PGS LD,朝霧,朝霧高原PGS,Landing,35.4104096,138.5842042,893,
朝霧高原PGS 南 LD,朝霧,朝霧高原PGS,Landing,35.4045597,138.5746542,819,
スカイ朝霧 TO,朝霧,スカイ朝霧,Takeoff,35.3727812,138.5466466,1020,E
スカイ朝霧 LD,朝霧,スカイ朝霧,Landing,35.3706179,138.5540903,712,
西富士 TO,朝霧,西富士友の会,Takeoff,35.3756876,138.5394487,1172,E
白糸 TO,朝霧,スカイ朝霧,Takeoff,35.3309718,138.5599782,831,S
白糸 LD,朝霧,スカイ朝霧,Landing,35.3262078,138.5588975,603,
木崎湖 TO,木崎湖,木崎湖フライトパーク,Takeoff,36.5713449,137.8226322,1278,E
木崎湖 LD,木崎湖,木崎湖フライトパーク,Landing,36.5673530,137.8338017,762,
パラトピア五竜 TO,白馬五竜,パラトピア五竜,Takeoff,36.6608456,137.8150556,1512,E
パラトピア五竜 LD,白馬五竜,パラトピア五竜,Landing,36.6734107,137.8389616,737,
八方尾根 TO,白馬八方,スカイブルー八方尾根,Takeoff,36.6971291,137.8166222,1383,E
八方尾根 LD,白馬八方,スカイブルー八方尾根,Landing,36.6959023,137.8394240,758,
